Top_RGB_Cluster,Representative_Color,Bottom_RGB_List
74,"(36, 40, 38)","[(36, 42, 42), (61, 59, 55), (62, 68, 69), (22, 27, 25), (44, 47, 44), (125, 133, 135), (53, 57, 49), (15, 23, 26)]"
75,"(104, 77, 55)","[(77, 88, 92), (57, 60, 50)]"
76,"(152, 114, 102)","[(51, 65, 76)]"
77,"(48, 61, 71)","[(11, 16, 26), (41, 45, 42)]"
78,"(96, 122, 138)","[(106, 130, 142), (53, 57, 60)]"
79,"(76, 88, 96)","[(132, 137, 139), (105, 88, 65), (147, 150, 145), (63, 48, 33)]"
80,"(71, 67, 59)","[(147, 162, 148), (39, 44, 44), (115, 125, 130), (84, 84, 75), (29, 30, 27), (172, 173, 169)]"
81,"(149, 143, 130)","[(72, 82, 83), (159, 163, 157), (175, 170, 160), (12, 21, 16)]"
82,"(158, 167, 174)","[(135, 139, 134), (47, 52, 63), (117, 126, 131)]"
83,"(130, 148, 166)","[(57, 60, 57), (10, 20, 20)]"
84,"(30, 42, 49)","[(152, 159, 159), (47, 57, 54), (47, 47, 45), (159, 164, 154), (43, 49, 45)]"
85,"(162, 166, 160)","[(129, 132, 129), (45, 48, 50), (45, 49, 50), (196, 210, 228), (51, 59, 63), (76, 77, 79), (44, 54, 79)]"
86,"(93, 100, 86)","[(71, 75, 72), (162, 170, 170), (36, 41, 52), (59, 63, 59), (105, 109, 102)]"
87,"(106, 117, 124)","[(47, 49, 46), (144, 146, 144), (139, 115, 100), (181, 176, 160), (21, 26, 26), (158, 55, 42)]"
88,"(62, 30, 42)","[(100, 103, 100)]"
89,"(62, 67, 66)","[(44, 50, 48), (57, 49, 37), (54, 58, 56), (56, 55, 46), (57, 32, 23), (90, 90, 87), (22, 23, 20), (29, 33, 35), (37, 44, 48), (139, 146, 141)]"
90,"(126, 129, 124)","[(19, 24, 26), (68, 68, 64), (57, 60, 63), (155, 152, 144), (124, 129, 111), (153, 159, 155), (8, 15, 18)]"
91,"(117, 130, 153)","[(94, 112, 118)]"
92,"(37, 49, 68)","[(62, 77, 84), (6, 12, 23)]"
93,"(187, 187, 172)","[(52, 73, 84), (69, 71, 76), (34, 44, 44), (12, 20, 25)]"
94,"(213, 220, 223)","[(118, 123, 133), (61, 94, 126)]"
95,"(187, 164, 113)","[(87, 83, 59)]"
96,"(87, 104, 109)","[(48, 46, 41), (37, 38, 31), (71, 44, 51), (85, 91, 88), (97, 105, 114)]"
97,"(34, 36, 31)","[(29, 38, 39), (91, 59, 36), (12, 16, 15), (112, 100, 84), (101, 114, 112), (162, 165, 159), (115, 132, 134)]"
98,"(114, 123, 126)","[(147, 151, 148), (16, 19, 16), (5, 13, 17), (119, 117, 104), (34, 51, 58), (32, 47, 60), (30, 33, 36), (50, 55, 53)]"
99,"(146, 148, 144)","[(47, 50, 44), (60, 59, 35), (43, 46, 47), (23, 30, 33), (81, 84, 85), (142, 150, 162), (28, 35, 41), (107, 115, 115)]"
100,"(61, 62, 57)","[(128, 130, 125), (75, 79, 75), (144, 136, 109), (42, 55, 76), (76, 77, 69), (29, 36, 33), (57, 61, 65), (100, 104, 105)]"
101,"(186, 192, 192)","[(194, 197, 191), (6, 18, 11), (136, 137, 127), (16, 21, 20), (96, 88, 84), (68, 76, 83)]"
102,"(106, 109, 104)","[(34, 35, 36), (137, 127, 116), (55, 58, 63), (90, 93, 84), (24, 28, 30), (14, 18, 19)]"
